timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774682746533,-0.955047,4.691917,1.725980,0.277121,-0.057583,-0.019692,-12.625340,-10.800240,-2.979584,0.432362,0.228119,0.197076,-8.279867,9.079052,-8.694544,0.561756,-0.264464,-0.051081,-0.707247,10.318770,-0.892798,0.311655,-0.176851,0.066909,-9.854774,-0.656011,-13.146560,-0.041168,0.039889,0.018599,2.064520,9.221746,-12.285370,-0.032242,0.031922,0.011431,-6.719566,0.090261,-9.297403,0.031602,-0.446405,-0.216368,-1.219127,-0.763032,-3.942292,0.034587,-1.083623,-0.031549
1774682746602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.287050,9.172426,-8.541315,0.439450,-0.219698,-0.069200,-0.791045,10.244550,-0.864067,0.220791,-0.118496,0.043726,-9.897869,-0.775721,-13.158530,-0.011858,0.040955,0.019398,2.169865,9.272025,-12.395500,-0.027979,-0.003784,0.017293,-6.717172,0.205183,-9.364441,0.076635,-0.450934,-0.202245,-1.250252,-0.784580,-3.951869,0.060434,-1.066036,-0.039010
1774682746682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.435491,8.978496,-8.617929,0.392819,-0.220498,-0.091317,-0.783862,10.179910,-0.809001,0.163768,-0.097445,0.046125,-9.876321,-0.608127,-13.232750,0.044366,0.049216,0.029524,2.284787,9.238506,-12.302130,-0.018386,-0.041888,0.017293,-6.712384,0.308134,-9.412325,0.071305,-0.446138,-0.195583,-1.255041,-0.851618,-3.889620,0.072158,-1.067102,-0.034214
1774682746713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.241560,9.033563,-8.670602,0.393085,-0.223962,-0.089185,-0.848505,9.918938,-0.935893,0.162702,-0.091050,0.030670,-9.854774,-0.524330,-13.117830,0.036372,0.045219,0.027925,2.200990,9.216958,-12.292550,-0.018119,-0.025101,0.013030,-6.729143,0.284192,-9.309375,0.070240,-0.454665,-0.192119,-1.281376,-0.729513,-3.903985,0.074823,-1.066836,-0.028885
1774682746759,-0.868855,4.847540,1.714009,0.254738,-0.024541,-0.013296,-12.407470,-10.658990,-3.156755,0.399321,0.259561,0.162702,-8.246348,9.057505,-8.692149,0.363775,-0.223695,-0.101176,-0.824563,10.287650,-0.866462,0.214129,-0.117963,0.021077,-9.703938,-0.744597,-13.414710,0.064617,0.065470,0.038317,2.117193,9.159497,-12.524790,-0.045565,-0.094914,0.038877,-6.793787,0.032801,-9.326134,0.063045,-0.442941,-0.194784,-1.326867,-0.672052,-3.765122,0.059101,-1.064704,-0.039543
1774682746821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.310992,9.292136,-8.828619,0.269980,-0.141625,-0.085455,-0.898783,10.364260,-0.591128,0.235180,-0.221617,-0.005836,-9.847590,-0.644040,-13.441050,0.157879,0.081458,0.052173,1.990300,9.204988,-12.486480,-0.054358,-0.163128,0.048203,-6.853642,-0.048602,-9.290221,0.078766,-0.444273,-0.200913,-1.259829,-0.636139,-3.793852,0.064431,-1.068701,-0.043540
1774682746857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.351693,8.894699,-8.955512,0.198035,-0.172534,-0.062539,-1.035253,10.345110,-0.469024,0.508570,-0.347654,0.080498,-9.885898,-0.629675,-13.261480,0.238884,0.079592,0.062832,2.268027,9.322304,-12.373950,-0.059421,-0.236406,0.061793,-6.841671,-0.079727,-9.132204,0.209066,-0.449336,-0.166806,-1.281376,-0.569102,-3.832159,0.191000,-1.044453,-0.077381
1774682746925,-0.679714,5.620867,1.273476,-0.037838,-0.061313,-0.035146,-13.010810,-10.496180,-2.464831,-0.056330,0.256630,-0.167179,-8.581536,9.431000,-9.125500,0.263851,-0.220231,0.073890,-0.807804,11.286030,-0.409169,0.473397,-0.368971,0.132991,-10.034340,-0.260968,-13.321340,0.264198,0.063605,0.038584,2.059732,9.295967,-12.306920,-0.099923,-0.332332,0.090304,-6.769845,-0.091698,-9.057983,0.180289,-0.472518,-0.203844,-1.317290,-0.365595,-3.585557,0.153429,-1.035926,-0.092836
1774682746959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.143397,10.288120,-9.036915,0.239603,-0.315358,0.200193,-0.479798,11.922880,-0.593523,0.113673,-0.314346,0.163368,-10.008000,-0.383072,-13.127410,0.240216,0.035626,0.020731,2.550543,9.255265,-11.928630,-0.100989,-0.317144,0.084975,-6.705201,-0.256898,-8.923908,0.146448,-0.478114,-0.209440,-1.341232,-0.581073,-3.822582,0.115591,-1.049516,-0.123479
1774682747010,-1.172919,6.636009,1.050815,-0.840689,-0.039463,0.002425,-13.410640,-10.615890,-2.625242,-0.607641,0.366679,-0.698771,-8.073966,10.766960,-9.580399,-0.253885,-0.173067,0.328095,-0.326569,12.645930,-0.974201,-0.561543,-0.239203,0.220125,-10.156440,-0.560243,-13.184870,-0.003597,-0.086414,-0.065337,1.949598,9.343851,-12.184810,-0.088732,-0.078660,0.041009,-6.760268,0.198000,-8.899966,0.047857,-0.469587,-0.192119,-1.403481,-0.023224,-3.587951,0.051640,-0.993026,-0.157852
1774682747057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.678923,10.783720,-9.975442,-0.828112,0.080338,0.400040,-0.285868,12.576500,-1.311783,-1.234894,-0.108903,0.386397,-9.926600,-0.612916,-13.292610,-0.092862,-0.161023,-0.131686,2.380555,9.264842,-12.029190,-0.087133,-0.045085,0.045272,-6.777028,0.121386,-8.895178,-0.185298,-0.440276,-0.200913,-1.295742,-0.760638,-4.006936,-0.174320,-0.993292,-0.241255
1774682747107,-1.005325,6.736565,0.538456,-2.251342,0.054865,0.201206,-13.480070,-10.764330,-2.721010,-1.313767,0.405316,-1.510682,-7.702865,10.798090,-10.183740,-1.030890,0.183992,0.444539,-0.180523,12.559740,-1.443464,-1.365194,-0.087853,0.455944,-9.984060,-0.517148,-13.019670,-0.174400,-0.188735,-0.160730,2.196201,9.228930,-11.895110,-0.099124,0.053506,0.034880,-6.432262,0.229125,-8.993340,-0.226600,-0.412031,-0.179862,-1.132936,-0.660081,-3.858495,-0.126090,-0.958386,-0.256177
1774682747146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.698077,10.879490,-10.514140,-1.231270,0.265530,0.469054,-0.202071,12.581290,-1.747528,-1.445665,-0.066536,0.536949,-10.137290,-0.512359,-13.060370,-0.399028,-0.305712,-0.248663,1.968752,9.317515,-12.072280,-0.071945,0.204856,0.010099,-6.516059,0.435026,-9.046013,-0.323858,-0.378190,-0.167072,-1.283771,-0.681629,-3.741179,-0.214023,-0.962649,-0.271365
