timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774687475877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.950244,5.272272,-9.532515,0.127955,-0.166939,-0.053745,-1.583525,8.362707,-2.001313,-0.115485,0.133578,0.207867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.878599,9.718305,-7.745243,-0.096006,0.000560,0.066669,-2.297955,2.564430,-5.248090,0.003224,0.148979,-0.147061
1774687475923,-0.782664,5.003163,1.266293,-0.074609,-0.059981,-0.084708,-13.666820,-10.754750,0.278924,0.034534,-0.164914,-0.268168,-8.746737,4.836527,-9.537303,0.181248,-0.187723,-0.096379,-1.375229,8.729020,-2.291012,0.163235,0.034720,0.292070,-10.142080,-0.814029,-12.524070,-0.164008,0.080125,-0.061073,2.172259,-10.171290,-9.709207,-0.042368,-0.103441,-0.004823,-7.761284,10.103770,-7.501034,-0.114925,-0.081777,0.183379,-2.305137,2.813426,-5.149928,0.034134,0.172428,-0.211811
1774687475981,-0.576763,4.950491,1.180102,-0.074077,-0.077034,0.008553,-13.630910,-10.402810,0.398635,0.214129,-0.051667,-0.056597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.900147,9.905052,-7.541736,-0.090944,-0.108424,0.275842,-2.125573,2.557247,-5.341464,-0.026620,0.238777,-0.271499
1774687476022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.504922,4.467820,-9.360132,0.319275,-0.276988,-0.062272,-1.545218,7.627687,-1.692461,0.126463,-0.040689,0.432229,-9.845197,-0.541090,-12.773070,-0.258069,0.178716,0.030057,2.002271,-10.118610,-9.725965,-0.053559,-0.349119,-0.049322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774687476063,-0.184114,4.701494,1.287841,-0.061553,-0.006688,0.115938,-12.883920,-10.568010,0.386664,0.157906,0.029338,0.066775,-8.701247,3.840539,-9.139865,0.542571,-0.228758,-0.034027,-1.466209,7.891049,-1.546415,0.587177,-0.116364,0.633941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.701428,10.920190,-6.253655,-0.245758,-0.411125,0.582274,-2.039382,2.868493,-4.283227,0.100217,0.467935,-0.464151
1774687476123,-0.459447,4.327998,1.067575,0.003730,0.037012,0.258229,-13.176010,-10.773910,0.293290,0.239177,0.089025,0.258096,-8.859264,4.398388,-9.048885,0.873517,-0.319089,0.010206,-1.547612,9.109698,-1.500925,0.772635,-0.189375,0.732266,-9.873927,-1.060631,-12.545620,0.015322,0.127556,0.189135,2.442804,-9.816945,-9.905531,-0.054358,-0.182847,-0.083696,-7.790014,10.343190,-7.371747,-0.132245,-0.719156,0.895101,-2.264436,0.814268,-6.540959,0.071972,0.860434,-0.657070
1774687476161,-1.184891,4.653610,0.753934,0.501482,-0.008820,0.376005,-13.738650,-11.099520,0.096965,0.482191,0.242774,0.582647,-9.172905,5.035245,-8.926782,0.945462,-0.393432,0.035786,-1.559583,9.344330,-1.558386,0.474463,-0.229611,0.717877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.790791,9.579440,-7.309498,-0.333957,-0.879300,0.696853,-3.463932,-0.974201,-7.321469,0.192146,0.954229,-0.626960
1774687476201,-1.481771,5.369476,0.560004,0.750891,-0.025074,0.292602,-14.351560,-10.527300,-0.314838,0.506972,0.291537,0.757180,-9.299797,5.152562,-8.955512,0.964381,-0.477634,0.058169,-1.777456,9.152794,-1.828931,0.334304,-0.328468,0.572388,-10.326430,0.311246,-12.354080,0.203178,0.106772,0.155028,2.277604,-10.286210,-9.843282,-0.050361,0.078020,-0.023742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774687476233,-1.046027,5.946479,0.708444,0.451387,0.085508,0.209999,-14.200730,-10.115500,-0.135272,0.346828,0.336569,0.635140,-9.105866,5.250724,-8.953117,1.176219,-0.444593,0.011804,-1.437478,9.181524,-1.912728,0.484056,-0.585338,0.257962,-9.838014,-0.390255,-12.471400,-0.190920,0.037491,-0.012577,3.012624,-10.099460,-10.094670,-0.080472,-0.222283,0.024221,-7.864234,7.781395,-6.672640,0.091317,-0.828672,0.211891,-1.895728,-3.279817,-7.316680,1.287307,0.367745,-0.104427
1774687476302,-1.115458,5.687905,0.765905,0.302968,0.133205,0.223322,-14.361140,-10.201690,-0.106542,0.367345,0.348560,0.492316,-8.895177,5.700834,-8.704121,1.183413,-0.389968,-0.095314,-1.219607,9.011536,-2.099475,0.684436,-0.723099,-0.210212,-10.369530,-1.182736,-12.416330,-0.038504,0.073197,-0.003784,2.093251,-10.044390,-9.397960,-0.067681,-0.040289,0.057263,-9.303149,7.850827,-5.987898,0.434787,-0.963768,-0.441741,-2.010651,-2.161725,-6.459556,2.863966,-0.389275,0.330440
