timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774677634909,-0.840125,2.118150,1.524867,-0.109783,0.049535,0.000027,-13.417820,-11.662160,0.573411,0.029737,0.060247,0.030004,-8.344511,2.648226,-9.022550,0.158598,-0.174133,0.016601,-1.810974,5.082651,0.239660,-0.169310,0.057103,0.176691,-10.156440,-1.874660,-11.121070,-0.043567,0.038824,0.002078,-7.672698,-1.793975,-11.289380,-0.037305,0.017800,0.005303,-9.577525,3.315969,-11.321700,-0.381841,-0.172481,0.080738,-11.942760,4.378756,-12.353120,-0.220071,-0.237098,0.103920
1774677635013,-0.931105,2.137304,1.608664,-0.091930,0.055131,-0.005303,-13.472890,-11.645400,0.523133,0.051321,0.058382,0.036665,-8.366058,2.629073,-8.960300,0.168991,-0.173067,0.004077,-1.789426,4.879144,0.155863,-0.171975,0.046711,0.175625,-10.144470,-1.838747,-11.128250,-0.044366,0.036958,0.001545,-7.653544,-1.770033,-11.279800,-0.036772,0.019398,0.007434,-9.524853,3.342306,-11.283390,-0.386904,-0.173281,0.079939,-11.894870,4.381150,-12.329180,-0.213143,-0.244293,0.102855
1774677635100,-0.967018,2.228283,1.520079,-0.069547,0.056197,0.003224,-13.429800,-11.647790,0.405817,0.062246,0.069307,0.045991,-7.851305,1.570836,-9.597157,0.537242,-0.067015,-0.073997,-3.213976,2.980542,1.838986,0.014549,-0.384159,0.050921,-10.197140,-1.824382,-11.121070,-0.040369,0.035626,0.002611,-7.672698,-1.796370,-11.246280,-0.043167,0.015402,0.004503,-9.527246,3.320758,-11.326490,-0.392233,-0.169017,0.076208,-11.916420,4.316506,-12.254960,-0.215275,-0.242694,0.098858
1774677635141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.162551,1.460702,-9.944317,0.845272,0.034240,-0.029497,-3.333686,3.555150,2.308250,0.504573,-0.864591,-0.071119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.532035,3.466804,-11.328880,-0.368784,-0.158092,0.075142,-11.942760,4.381150,-12.331580,-0.203817,-0.247490,0.096992
1774677635189,-0.823366,1.883518,1.390792,-0.101522,0.005569,-0.005036,-13.401060,-11.652580,0.671574,0.077700,0.039463,0.070772,-8.351693,0.965103,-9.393651,1.049649,0.014522,-0.102242,-3.307350,2.963782,2.839763,0.801945,-1.321308,-0.187030,-10.218690,-1.754950,-11.135430,-0.039303,0.031363,0.000480,-7.655939,-1.849042,-11.334870,-0.028778,0.009006,0.012764,-9.505699,3.351882,-11.340850,-0.377844,-0.162356,0.074343,-11.914030,4.354814,-12.341150,-0.194491,-0.248290,0.094594
1774677635220,-1.237563,1.890701,1.251928,0.025314,0.006635,0.006688,-13.714710,-11.951850,0.456095,0.135789,0.077301,0.120068,-8.576748,1.570836,-11.076770,2.260454,0.295907,0.272405,-5.138915,4.139335,5.667315,1.757480,-3.061841,-0.269900,-10.161230,-1.771709,-11.135430,0.004663,0.036159,-0.002984,-7.682275,-1.743697,-11.296560,-0.018386,0.002878,0.018359,-9.544006,3.282450,-11.374370,-0.363988,-0.153562,0.072211,-11.911630,4.330872,-12.305240,-0.193692,-0.248023,0.091930
1774677635313,-0.945470,1.917037,1.503319,0.133231,-0.057849,0.021344,-13.527960,-11.669340,0.661997,0.240509,0.125797,0.199740,-9.704417,2.236424,-8.732851,2.395018,-0.130966,0.558319,-5.208347,6.406644,7.067923,1.476895,-4.610786,-0.275229,-10.154050,-1.810017,-11.118670,-0.012391,0.033228,-0.008047,-7.615237,-1.779610,-11.219950,-0.008260,0.000746,0.016494,-9.515276,3.342306,-11.395920,-0.357859,-0.149565,0.075142,-11.969090,4.328477,-12.389040,-0.200886,-0.250155,0.089531
1774677635378,-0.804213,1.632127,1.390792,0.235819,-0.083163,0.033867,-13.164040,-11.908760,0.549469,0.326576,0.148713,0.232515,-9.596678,6.431065,-4.030639,1.478387,-0.854945,1.642022,1.452323,7.670783,5.629008,0.217860,-5.691558,-0.876901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.594284,3.481169,-11.635340,-0.351198,-0.139973,0.078074,-11.990640,4.249469,-12.353120,-0.201685,-0.251487,0.091663
1774677635435,-0.483389,2.350388,1.730768,0.373580,-0.022409,0.059981,-13.360360,-11.784260,0.628478,0.453679,0.251301,0.282077,-10.058760,3.450284,-5.948394,-0.225107,-1.414782,1.252720,3.106716,7.984423,4.707240,-1.143497,-4.942533,1.085062,-10.149260,-1.999158,-11.257540,-0.005729,0.040955,-0.003784,-7.596084,-1.679054,-11.191220,-0.032775,0.002878,0.025287,-9.570342,3.236961,-11.589850,-0.363988,-0.145036,0.082603,-11.902060,4.196796,-12.231020,-0.204084,-0.252820,0.099124
1774677635473,-0.849702,2.671211,2.015678,0.261666,0.106292,-0.080179,-13.595000,-11.422740,0.463278,0.463272,0.130593,0.103814,-9.891165,4.441483,-4.777630,-2.933965,-1.542418,0.509023,2.936728,5.903862,4.175727,-1.767286,-2.538508,4.044127,-10.120530,-2.015918,-11.077970,-0.014789,0.039357,0.017000,-7.694246,-1.743697,-11.205580,-0.043167,0.033521,0.022356,-9.668505,3.220201,-11.350430,-0.362123,-0.179143,0.115645,-12.014580,4.285382,-12.286090,-0.203284,-0.232835,0.122306
