timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774685614582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.684487,5.248330,-10.308240,0.159398,-0.133631,0.024328,-1.621832,7.606139,0.246842,-0.143197,0.080818,0.188416,-10.324040,-1.371878,-10.182540,-0.039037,0.026300,-0.000853,3.481888,-9.776243,-8.109879,-0.031176,0.010605,-0.003757,-7.746919,7.132566,-8.712500,-0.001945,0.064511,0.003784,-1.984314,1.676181,-7.963115,0.041861,0.028805,-0.018359
1774685614617,-0.435505,2.565866,-1.240436,-0.074077,0.057263,0.010152,-13.154460,-9.809044,-2.081758,0.059315,0.087160,0.049455,-8.643785,5.293819,-10.315420,0.181781,-0.149086,0.032588,-1.600284,7.668388,0.277967,-0.150924,0.071492,0.210266,-10.362340,-1.407791,-10.137050,-0.031043,0.034827,-0.000053,3.551319,-9.816945,-8.073966,-0.033574,0.021264,0.020491,-7.806773,7.022433,-8.638280,0.020704,0.066376,0.005649,-1.950796,1.609143,-8.010999,0.046924,0.021877,-0.015961
1774685614681,-0.411563,2.553895,-1.271560,-0.075942,0.046604,0.011751,-13.197560,-9.866505,-2.141613,0.063844,0.083163,0.051054,-8.631815,5.351280,-10.293870,0.184445,-0.157346,0.037918,-1.545218,7.575015,0.273178,-0.155721,0.065097,0.209999,-10.345580,-1.395820,-10.122680,-0.020917,0.037225,-0.004583,3.582444,-9.857647,-8.088332,-0.035706,0.022330,0.021823,-7.809168,7.051164,-8.659827,0.023635,0.069840,0.003251,-1.967554,1.683363,-7.987057,0.055717,0.024808,-0.013563
1774685614713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.662939,5.411135,-10.212470,0.179915,-0.157080,0.036319,-1.612255,7.634870,0.210929,-0.162382,0.063232,0.196676,-10.312070,-1.343147,-10.196910,-0.009992,0.037491,-0.001386,3.524983,-9.816945,-8.076361,-0.034107,0.035919,0.012764,-7.758889,7.134961,-8.628703,0.017507,0.066376,0.005116,-1.950796,1.707305,-7.972692,0.044526,0.024808,-0.017293
1774685614744,-0.337343,2.549107,-1.218888,-0.062086,0.049269,0.011485,-13.140100,-9.837774,-2.134431,0.071305,0.081831,0.050521,-8.684487,5.408741,-10.219650,0.164994,-0.153349,0.033921,-1.571554,7.608533,0.232477,-0.173840,0.060300,0.186550,-10.331220,-1.276109,-10.113110,-0.007061,0.034827,0.009006,3.520195,-9.730754,-8.081149,-0.037838,0.040715,0.002372,-7.701428,7.089471,-8.621520,0.016974,0.055184,0.002718,-1.962766,1.680969,-7.972692,0.045325,0.024275,-0.018892
1774685614775,-0.524091,2.573049,-1.178187,-0.072211,0.047670,0.010952,-13.207130,-9.785102,-2.144008,0.068374,0.081031,0.052120,-8.600690,5.415924,-10.243590,0.169523,-0.167205,0.011538,-1.516487,7.594168,0.251631,-0.133071,0.066696,0.188149,-10.309670,-1.391031,-10.108320,-0.035306,0.033494,-0.004583,3.455551,-9.797791,-8.050024,-0.031443,0.016734,0.009033,-7.773254,7.046375,-8.681376,0.010312,0.069840,0.005915,-1.981920,1.642662,-8.049306,0.051720,0.020011,-0.018626
1774685614809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.679699,5.344098,-10.444710,0.161796,-0.145888,0.010738,-1.724783,7.582197,0.141497,-0.083509,0.079219,0.186550,-10.426990,-1.434127,-10.117900,-0.043034,0.038824,-0.004050,3.627934,-9.883983,-8.071572,-0.038104,-0.004583,0.017293,-7.835504,7.120595,-8.714894,0.013776,0.066642,0.001119,-1.926854,1.678575,-8.046912,0.049855,0.015748,-0.018626
1774685614850,-0.603100,2.690364,-1.228465,-0.069014,0.064457,0.009353,-13.195160,-9.710882,-2.050634,0.076635,0.075968,0.053985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.304880,-1.338359,-10.218450,-0.009992,0.048150,0.004477,3.424427,-9.752301,-8.045236,-0.042101,0.042314,0.012231,-7.727765,7.134961,-8.681376,0.016441,0.062912,0.004583,-1.946007,1.649844,-8.073248,0.038664,0.014682,-0.016494
1774685614888,-0.469024,2.565866,-1.348175,-0.071145,0.065257,0.005622,-13.221500,-9.842563,-2.146402,0.074503,0.076768,0.047324,-8.679699,5.470990,-10.236410,0.150072,-0.157080,0.002745,-1.597890,7.766551,0.270784,-0.129607,0.077088,0.172428,-10.347980,-1.290475,-10.223240,-0.047564,0.049482,0.005809,3.434004,-9.783426,-8.093121,-0.041568,0.028458,0.015428,-7.835504,7.017645,-8.657434,0.009246,0.071705,0.004317,-1.969949,1.688152,-8.063671,0.037864,0.016014,-0.018626
1774685614930,-0.550427,2.489252,-1.197340,-0.076741,0.056463,0.006955,-13.255020,-9.813832,-2.096124,0.059315,0.081564,0.046258,-8.615055,5.219599,-10.313020,0.144209,-0.146954,-0.000453,-1.619438,7.682754,0.153468,-0.186897,0.076555,0.176691,-10.280940,-1.395820,-10.113110,-0.064084,0.026833,0.009006,3.529772,-9.790608,-8.186494,-0.039969,-0.014176,0.023955,-7.706217,7.137355,-8.700529,0.022836,0.061313,-0.002078,-1.962766,1.695334,-8.006210,0.049322,0.017080,-0.017293
