timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774679938333,18.349400,5.522705,3.239115,-0.070879,0.035146,0.005622,-12.419440,-13.194450,-1.361104,0.068108,0.087160,0.056383,-8.923907,4.920324,-8.306683,0.165526,-0.154948,0.009140,17.009850,6.313271,2.181357,-0.128808,0.059501,0.172428,-9.974483,-1.999158,-12.387600,-0.029977,0.046817,-0.006715,-7.615237,1.040759,-11.595840,-0.035173,0.018066,-0.002158,-9.821733,-0.378044,-11.615950,-0.047217,-0.002505,-0.008154,-4.852089,0.102472,-10.702080,0.007861,-0.003917,-0.010099
1774679938388,18.325460,5.446091,3.227144,-0.067149,0.036212,0.006155,-12.414650,-13.136980,-1.363498,0.072105,0.083696,0.055584,-8.895177,5.016092,-8.249222,0.160197,-0.156813,0.011005,16.921261,6.279752,2.119108,-0.118682,0.065097,0.178290,-9.928993,-1.960851,-12.457030,-0.035306,0.044952,-0.004583,-7.636786,1.050336,-11.631750,-0.037305,0.023395,0.001572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774679938436,18.394890,5.563406,3.222356,-0.066349,0.040209,0.004024,-12.400290,-13.139380,-1.492785,0.084362,0.085295,0.049455,-8.902360,4.934689,-8.373721,0.148206,-0.152550,0.004077,16.969139,6.361155,2.071224,-0.122413,0.060034,0.181488,-9.881109,-1.936909,-12.445060,-0.022783,0.048949,-0.003251,-7.624814,1.074278,-11.710760,-0.025047,0.030057,0.007434,-9.800186,-0.337343,-11.627920,-0.024035,0.004157,-0.004690,-4.859272,0.109654,-10.788270,0.025181,-0.001252,-0.006901
1774679938486,18.347010,5.474821,3.294182,-0.082870,0.029817,0.006422,-12.440990,-13.048400,-1.253364,0.124331,0.082097,0.084895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.993637,-1.910573,-12.406750,-0.013456,0.043353,-0.009113,-7.610449,1.067096,-11.770610,-0.019718,0.026060,0.006901,-9.793003,-0.342131,-11.817060,-0.025101,0.015881,-0.004423,-4.955040,0.052194,-10.879250,0.027312,-0.011378,-0.009566
1774679938568,18.279970,5.546647,3.229539,-0.103387,0.040476,0.014149,-12.405080,-13.275850,-1.349133,0.100883,0.081831,0.077967,-8.902360,4.999332,-8.337808,0.158066,-0.137095,0.022196,17.007450,6.272569,2.018551,-0.118682,0.045112,0.179889,-9.998425,-1.932121,-12.447450,-0.007061,0.050015,-0.005383,-7.682275,1.112586,-11.741880,-0.016521,0.022330,0.003970,-9.831310,-0.275094,-11.599190,-0.027499,0.023609,0.000107,-4.825753,0.157538,-10.733210,0.031842,-0.018306,-0.007967
1774679938602,18.366159,5.503551,3.205597,-0.107118,0.038344,0.024008,-12.431410,-13.115440,-1.320402,0.119002,0.082097,0.097685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.976878,-1.898602,-12.473790,-0.013190,0.050814,-0.009113,-7.634391,1.117374,-11.703580,-0.015455,0.016734,0.000240,-9.848070,-0.299036,-11.759600,-0.040556,0.011618,-0.004956,-4.880819,0.090501,-10.754750,0.011058,-0.015908,-0.011165
1774679938644,18.335039,5.491580,3.246298,-0.100456,0.041808,0.020544,-12.393110,-13.125010,-1.267730,0.096619,0.073037,0.094221,-8.844899,4.953843,-8.364144,0.173520,-0.139493,0.019532,16.985901,6.267781,1.975456,-0.140266,0.044313,0.192679,-9.933782,-1.905784,-12.430700,-0.049962,0.041488,-0.008047,-7.581718,1.047942,-11.677240,-0.063152,0.018066,-0.010419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774679938689,18.409260,5.470033,3.315730,-0.112714,0.043140,0.014416,-12.498450,-13.156140,-1.217451,0.075302,0.086627,0.078500,-8.931090,4.992150,-8.462306,0.155934,-0.132032,0.023262,17.019421,6.239050,2.008975,-0.116817,0.051774,0.195077,-10.003210,-1.951274,-12.521680,-0.063285,0.039357,-0.010712,-7.677486,1.062307,-11.665270,-0.074876,0.023395,-0.014949,-9.666111,-0.504937,-11.675800,-0.013643,-0.009699,-0.011618,-4.753927,-0.184832,-10.654200,0.018253,-0.004716,-0.020491
1774679938727,18.437990,5.400601,3.284605,-0.119375,0.050601,0.010952,-12.632530,-13.069950,-1.253364,0.083563,0.082630,0.078766,-8.952638,5.052005,-8.249222,0.161263,-0.143224,0.038184,17.052940,6.277358,1.999398,-0.081111,0.055504,0.203604,-9.933782,-1.742979,-12.401970,-0.075542,-0.024861,-0.016840,-7.562565,1.105403,-11.696390,-0.072478,0.028192,-0.023475,-9.807368,0.182199,-11.967900,0.068960,0.030004,-0.030803,-4.880819,0.301191,-10.989390,0.091530,-0.009513,-0.023955
1774679938769,18.356581,5.201882,3.368402,-0.123106,0.066855,0.013616,-12.543940,-12.897560,-1.174356,0.076102,0.059714,0.069973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.869139,-1.879448,-12.478580,-0.036372,0.001785,-0.045352,-7.605660,0.985693,-11.715550,-0.045832,0.024195,-0.031736,-9.649351,-0.059616,-11.690170,0.016201,0.033201,-0.022809,-4.768292,0.195846,-10.824190,0.075809,-0.012710,-0.031682
